Species,Seed_Mass_g,Natural_Log_Seed_Mass
Acacia_euthycarpa,0.018895,-3.968857942
Apeiba_glabra,0.0142,-4.254513314
Cocculus_orbiculatus,0.06597,-2.718555186
Rubus_hochstetterorum,0.0065,-5.035953102
Croton_urucurana,0.009,-4.710530702
Brickellia_grandiflora,7.7e-4,-7.169120043
Verbena_canescens,5.48333e-4,-7.508627791
Dyschoriste_nagchana,0.00392,-5.541663625
Cucurbita_foetidissima,0.0306365,-3.48556317
Atalaya_alata,0.07315,-2.615243152
Sloanea_guianensis,0.154,-1.870802677
Berberis_glaucocarpa,0.01141,-4.473265115
Geochloa_lupulina,0.00102,-6.887952652
Chenopodium_berlandieri,0.001255,-6.680619706
Nastanthus_scapigerus,0.00262,-5.944580961
Chaerophyllum_hirsutum,0.003179,-5.751188597
Eucryphia_lucida,0.0011849,-6.738096896
Periploca_laevigata,0.00751,-4.891519813
Clematis_glycinoides,0.00187,-6.281816848
Acorus_calamus,0.002049333,-6.190240742
Mascagnia_polybotrya,0.01964,-3.930186976
Zanthoxylum_fagara,0.0127975,-4.35850544
Rhododendron_indicum,1e-4,-9.210340372
Saurauia_yasicae,5e-4,-7.60090246
Searsia_lancea,0.032115,-3.438432068
Passiflora_lutea,0.00486,-5.326716841
Hypertelis_spergulacea,9e-5,-9.315700888
Phyteuma_hedraianthifolium,6e-5,-9.721165996
Eurya_brevistyla,8.7e-4,-7.047017346
Pseudofumaria_lutea,0.001316,-6.633158446
Chamaerops_humilis,0.6717,-0.397943467
Viburnum_dentatum,0.020051334,-3.909459619
Aechmea_recurvata,7.3e-4,-7.222466024
Armeria_arenaria,0.00148,-6.515713191
Lysimachia_punctata,3.64e-4,-7.91835669
Salvia_lyrata,0.0012,-6.725433722
Onosma_stellulata,0.0035,-5.65499231
Sedum_hispanicum,2.75e-5,-10.50132455
Oreocharis_auricula,2e-5,-10.81977828
Boechera_puberula,5.1e-4,-7.581099832
Aextoxicon_punctatum,0.325255,-1.123145789
Triphysaria_floribunda,1.75e-4,-8.650724584
Allium_bigelovii,0.00321,-5.741484342
Hakea_lehmanniana,0.0207,-3.877621579
Cephalanthus_natalensis,0.00526,-5.247624252
Lomandra_longifolia,0.009045,-4.70554316
Connarus_panamensis,0.294,-1.224175512
Aglaia_tomentosa,0.298,-1.210661792
Eucalyptus_confluens,0.002945,-5.827646462
Moehringia_ciliata,4e-4,-7.824046011
Ailanthus_integrifolia,0.55556,-0.587778665
Trianthema_oxycalyptrum,6.3e-4,-7.369790739
Akebia_quinata,0.0205,-3.887330393
Cornus_alternifolia,0.050198333,-2.991773453
Aletris_farinosa,1.8e-5,-10.9251388
Eriastrum_wilcoxii,6.8e-4,-7.29341776
Alisma_triviale,4.2e-4,-7.775255847
Pisonia_subcordata,0.01414,-4.258747619
Allocasuarina_tessellata,0.00205,-6.189915486
Alluaudia_procera,0.00172,-6.365430988
Betula_alleghaniensis,9.2315e-4,-6.987718823
Arisaema_triphyllum,0.017662,-4.03633984
Aloe_suprafoliata,0.00163,-6.419175264
Scrophularia_desertorum,1.29e-4,-8.955698154
Phylica_obtusifolia,0.01326,-4.323003294
Globba_leucantha,0.005,-5.298317367
Alseuosmia_pusilla,0.0034,-5.683979847
Alstroemeria_werdermannii,0.01471,-4.219227744
Picramnia_latifolia,0.08695,-2.442422038
Amborella_trichopoda,0.003675,-5.606202146
Phyllostylon_rhamnoides,0.01,-4.605170186
Cissus_hypoglauca,0.03911,-3.24137709
Catalpa_speciosa,0.020431111,-3.890696491
Carex_bella,7e-4,-7.264430223
Amyema_congener,0.02031,-3.896641903
Elegia_cuspidata,0.00142,-6.557098407
Annona_reticulata,0.2392,-1.430455257
Petalostigma_pubescens,0.0299,-3.509896799
Houttuynia_cordata,4e-5,-10.1266311
Anigozanthos_rufus,0.00103,-6.878196477
Calystegia_marginata,0.01262,-4.372472422
Anisophyllea_disticha,0.33,-1.108662625
Shorea_parvifolia,0.695,-0.363843433
Anredera_cordifolia,0.01,-4.605170186
Miconia_ciliata,7e-5,-9.567015316
Lycium_ferocissimum,0.002003333,-6.212942985
Ficus_obtusifolia,0.001,-6.907755279
Veratrum_album,0.0035975,-5.627516119
Glochidion_harveyanum,0.010795,-4.528672215
Muehlenbeckia_axillaris,0.002,-6.214608098
Penstemon_cardwellii,4e-4,-7.824046011
Aphanopetalum_clematideum,0.00405,-5.509038398
Aphloia_theiformis,0.0046775,-5.3649915
Wimmeria_bartlettii,0.018,-4.017383521
Emmotum_fagifolium,0.623333333,-0.472673858
Aralia_hispida,0.00471015,-5.358035524
Choretrum_glomeratum,0.02699,-3.612288852
Galearis_spectabilis,4e-6,-12.4292162
Ferocactus_wislizeni,0.0015518,-6.468339732
Aristolochia_bracteolata,0.008253333,-4.79713816
Ascarina_swamyana,0.001057,-6.852320572
Astelia_pumila,4.3e-4,-7.751725349
Asteropeia_micraster,0.00704,-4.956147109
Micranthes_ferruginea,4.4e-5,-10.03132092
Atherosperma_moschatum,0.00138,-6.58567178
Aucoumea_klaineana,0.098,-2.3227878
Pittosporum_undulatum,0.008349334,-4.785573564
Austrobaileya_scandens,0.3647954,-1.008418631
Salix_amygdaloides,1.45e-4,-8.838776816
Azima_tetracantha,0.054485,-2.909829845
Herbertia_lahue,0.00239,-6.036461913
Colchicum_montanum,0.00204,-6.194805471
Balbisia_peduncularis,3.05e-4,-8.095198781
Begonia_herbacea,1e-5,-11.51292546
Litsea_accedens,0.5,-0.693147181
Elatine_gratioloides,5e-5,-9.903487553
Melianthus_pectinatus,0.03079,-3.480565317
Lecythis_confertiflora,1.245,0.21913553
Berzelia_alopecuroides,0.00105,-6.858965115
Bhesa_paniculata,0.077,-2.563949857
Bixa_orellana,0.026275,-3.639137362
Gentiana_asclepiadea,1.09333333333333e-4,-9.121109238
Blandfordia_punicea,8.4e-4,-7.082108666
Parietaria_pensylvanica,2.86e-4,-8.159518747
Bonnetia_sessilis,1.5e-4,-8.804875264
Borya_sphaerocephala,4.5e-5,-10.00884807
Maerua_angolensis,0.10904,-2.216040492
Ouratea_lucens,0.127,-2.063568193
Cabomba_caroliniana,0.001025,-6.883062666
Carallia_brachiata,0.029645,-3.518461802
Butomus_umbellatus,1.865e-4,-8.587079319
Buxus_sinica,0.01468,-4.221269256
Mentzelia_multiflora,7.7e-4,-7.169120043
Portulaca_grandiflora,1.08e-4,-9.133379331
Jovellana_sinclairii,2e-5,-10.81977828
Calochortus_venustus,0.003044,-5.794582839
Garcinia_gummi-gutta,0.5917,-0.524755529
Calycanthus_occidentalis,0.0857195,-2.456674941
Franklinia_alatamaha,0.01513,-4.191075751
Canella_winterana,0.0455,-3.090042953
Canna_indica,0.189655,-1.662548647
Gironniera_subaequalis,0.0278,-3.582719258
Jacaratia_dolichaula,0.06,-2.813410717
Carludovica_palmata,0.005,-5.298317367
Hydrangea_petiolaris,1e-4,-9.210340372
Cuttsia_viburnea,2e-5,-10.81977828
Carya_ovata,4.5074,1.5057204906024282
Caryocar_glabrum,6.9,1.9315214116032138
Quercus_rotundifolia,2.12407,0.7533340595221318
Reseda_alba,4.07333333333333e-4,-7.805878707
Lonicera_maackii,0.0030625,-5.788523703
Ceratophyllum_demersum,0.0021245,-6.154218798
Cercidiphyllum_japonicum,5.01333e-4,-7.598240007
Fraxinus_xanthoxyloides,0.03937,-3.234751174
Licania_alba,7.593333333,2.027270669307028
Pouteria_cladantha,0.5875,-0.531879033
Epilobium_leptophyllum,1.486e-4,-8.814252426
Helianthemum_nummularium,0.001007183,-6.900597623
Citronella_smythii,0.31,-1.171182982
Claytonia_perfoliata,5.34804833333333e-4,-7.533608675
Cleomella_obtusifolia,0.001826,-6.305627497
Clethra_barbinervis,1e-4,-9.210340372
Clutia_pulchella,0.00308,-5.782825682
Terminalia_ivorensis,0.13316,-2.016203866
Tradescantia_occidentalis,0.003306667,-5.711814546
Myrica_gale,0.00132,-6.630123542
Corbichonia_decumbens,3.6e-4,-7.929406527
Coriaria_sarmentosa,8.425e-4,-7.079136896
Corokia_buddleioides,0.0476,-3.044922518
Trichocladus_ellipticus,0.0198,-3.922073341
Corynocarpus_laevigatus,2.522666667,0.9253165430153999
Craniolaria_annua,0.06222,-2.777078788
Craterostigma_plantagineum,5e-5,-9.903487553
Hypericum_kalmianum,8e-5,-9.433483923
Glossopetalon_spinescens,0.00263,-5.940771433
Decodon_verticillatus,7.3e-4,-7.222466024
Dillenia_suffruticosa,0.009,-4.710530702
Zephyra_elegans,0.00257,-5.96384938
Triglochin_maritima,0.01,-4.605170186
Cynomorium_coccineum,7.75e-4,-7.162647529
Dactylocladus_stenostachys,0.0025,-5.991464547
Pimelea_octophylla,0.00432,-5.444499877
Daphniphyllum_calycinum,0.04129,-3.187134939
Sarracenia_purpurea,0.0015425,-6.474350802
Dasypogon_bromeliifolius,0.04312,-3.143768352
Datisca_cannabina,5.67e-5,-9.777736347
Delarbrea_michieana,0.12055,-2.115690674
Desfontainia_spinosa,0.00112,-6.794426594
Diapensia_lapponica,1.2e-4,-9.028018815
Dioscorea_praehensilis,0.00825,-4.797542079
Euclea_crispa,0.12144,-2.108334965
Diplacus_cusickii,5e-5,-9.903487553
Doryanthes_excelsa,0.0418,-3.174858939
Tasmannia_insipida,0.003,-5.80914299
Drosera_capillaris,3e-5,-10.41431318
Drypetes_madagascariensis,0.1246,-2.082646673
Elaeagnus_umbellata,0.0152625,-4.18235644
Hydrocharis_morsus-ranae,1.7e-4,-8.679712121
Eriocaulon_aquaticum,1.05333333333333e-4,-9.158380633
Pelargonium_triste,0.00353,-5.646457408
Erythroxylum_coca,0.1181,-2.136223556
Escallonia_pulverulenta,2.5e-5,-10.59663473
Euptelea_polyandra,0.0012,-6.725433722
Nymphaea_odorata,0.005856,-5.140288502
Flagellaria_indica,0.042733333,-3.152776031
Fouquieria_splendens,0.014329444,-4.245438814
Frankenia_salina,1.55e-4,-8.772085441
Pandanus_wiehei,0.26147,-1.341435725
Galbulimima_belgraveana,9e-4,-7.013115795
Garrya_fremontii,0.02006,-3.909027496
Strychnos_spinosa,0.377165,-0.975072521
Gisekia_africana,3.8e-4,-7.875339305
Gonocarpus_teucrioides,8.9e-4,-7.024289095
Goodenia_ovata,9.095e-4,-7.00261556
Potamogeton_alpinus,0.0023255,-6.063820209
Zygophyllum_fabago,0.003856667,-5.55795194
Stylobasium_spathulatum,0.21424,-1.540658397
Gunnera_monoica,0,#NAME?
Gyrocarpus_americanus,0.340476667,-1.077408682
Gyrostemon_tepperi,0.0031,-5.776353167
Halesia_carolina,0.295815,-1.21802102
Nuxia_oppositifolia,1e-5,-11.51292546
Hanguana_malayana,0.017,-4.074541935
Sesamum_indicum,0.002376667,-6.042056193
Peumus_boldus,0.0811,-2.512072318
Heisteria_silvianii,0.4,-0.916290732
Heliconia_acuminata,0.07856,-2.543892615
Philydrum_lanuginosum,4e-5,-10.1266311
Heteranthera_dubia,5.25e-4,-7.552112295
Pycnanthus_angolensis,1.909,0.6465795447436106
Humiria_balsamifera,0.26,-1.347073648
Ilex_verticillata,0.011736667,-4.445037434
Schisandra_bicolor,0.00666,-5.011635794
Impatiens_textorii,0.00503,-5.292335295
Irvingbaileya_australis,0.22,-1.514127733
Ixerba_brexioides,0.0174,-4.051285073
Ixiolirion_tataricum,0.00517,-5.26488259
Ixonanthes_reticulata,0.003,-5.80914299
Luzula_parviflora,2.48667e-4,-8.299395906
Kirkia_wilmsii,0.01398,-4.270127542
Lacistema_aggregatum,0.03515,-3.348130661
Lanaria_lanata,0.01639,-4.111083886
Viola_sororia,0.001333,-6.620323238
Leptolaena_cuspidata,0.01651,-4.103789021
Limnanthes_alba,0.00540725,-5.220014633
Linum_austriacum,0.0012905,-6.652725539
Liquidambar_formosana,0.0042,-5.472670754
Magnolia_baillonii,0.0885,-2.424752727
Mammea_touriga,14,2.6390573296152584
Stromanthe_tonckat,0.03077,-3.48121509
Meliosma_cuneifolia,0.01297,-4.345116281
Nymphoides_peltata,6.01333333333333e-4,-7.416361146
Microdesmis_caseariifolia,0.0287,-3.550858156
Montinia_caryophyllacea,0.00572,-5.163786474
Moringa_oleifera,0.219675,-1.515606098
Mostuea_brunonis,0.02761,-3.589577253
Polygala_vulgaris,0.001767715,-6.33806781
Muntingia_calabura,9.33335e-5,-9.279331458
Myricaria_bracteata,5.5e-5,-9.808177373
Nepenthes_vieillardii,1.4e-4,-8.873868135
Nitraria_sibirica,0.01865,-3.981909133
Nothofagus_antarctica,0.00154,-6.475972863
Octomeles_sumatrana,1.5e-4,-8.804875264
Opilia_amentacea,0.44366,-0.812696776
Paeonia_coriacea,0.14165,-1.954396053
Paulownia_tomentosa,1.96933333333333e-4,-8.532645296
Pauridia_capensis,6e-5,-9.721165996
Pennantia_corymbosa,0.017475,-4.046983991
Pentaphragma_ellipticum,1.6e-5,-11.04292184
Penthorum_chinense,1e-5,-11.51292546
Piper_jacquemontianum,8.6e-4,-7.058578169
Phytolacca_dioica,0.00672,-5.002667124
Phaulothamnus_spinescens,0.00565,-5.176099734
Phyllonoma_laticuspis,7e-4,-7.264430223
Pinguicula_grandiflora,3e-5,-10.41431318
Platanus_racemosa,0.0029695,-5.819361691
Tofieldia_calyculata,3.9e-5,-10.15194891
Plocosperma_buxifolium,0.020676667,-3.878749413
Pterostemon_rotundifolius,0.00654,-5.029818114
Quillaja_saponaria,0.00654,-5.029818114
Quintinia_acutifolia,7e-5,-9.567015316
Strelitzia_reginae,0.19796,-1.619690289
