node_name,post_prob,post_mean_jps,post_prob_greater50,predicted_jp
,1.0,0.9999999999998981,1,1
__node__1,0.0,0.0,0,0
__node__2,0.0,0.0,0,0
__node__3,0.0,0.0,0,0
__node__4,0.0,0.0,0,0
__node__5,0.0,0.0,0,0
__node__6,0.0,0.0,0,0
__node__7,0.0,0.0,0,0
__node__8,0.0,0.0,0,0
__node__9,0.0,0.0,0,0
__node__10,0.0,0.0,0,0
__node__11,0.0,0.0,0,0
__node__12,0.0,0.0,0,0
__node__13,0.0,0.0,0,0
__node__14,0.0,0.0,0,0
__node__15,0.0,0.0,0,0
__node__16,0.0,0.0,0,0
__node__17,0.0,0.0,0,0
__node__18,0.0,0.0,0,0
__node__19,0.0,0.0,0,0
Humiria_balsamifera,0.0,0.0,0,0
__node__20,0.0,0.0,0,0
__node__21,0.0,0.0,0,0
__node__22,0.0,0.0,0,0
Clutia_pulchella,0.0,0.0,0,0
Croton_urucurana,0.0,0.0,0,0
__node__23,0.0,0.0,0,0
__node__24,0.0,0.0,0,0
Ixonanthes_reticulata,0.0,0.0,0,0
Linum_austriacum,0.0,0.0,0,0
__node__25,0.0,0.0,0,0
Ouratea_lucens,0.0,0.0,0,0
Caryocar_glabrum,0.0,0.0,0,0
__node__26,0.0,0.0,0,0
Drypetes_madagascariensis,0.0,0.0,0,0
__node__27,0.0,0.0,0,0
__node__28,0.0,0.0,0,0
Licania_alba,0.0,0.0,0,0
Tapura_guianensis,0.0,0.0,0,0
__node__29,0.0,0.0,0,0
__node__30,0.0,0.0,0,0
__node__31,0.0,0.0,0,0
Microdesmis_caseariifolia,0.0,0.0,0,0
__node__32,0.0,0.0,0,0
Erythroxylum_coca,0.0,0.0,0,0
Carallia_brachiata,0.0,0.0,0,0
__node__33,0.0,0.0,0,0
Glochidion_harveyanum,0.0,0.0,0,0
Petalostigma_pubescens,0.0,0.0,0,0
__node__34,0.0,0.0,0,0
Bhesa_paniculata,0.0,0.0,0,0
__node__35,0.0,0.0,0,0
__node__36,0.0,0.0,0,0
__node__37,0.0,0.0,0,0
Mascagnia_polybotrya,0.0,0.0,0,0
Elatine_gratioloides,0.0,0.0,0,0
__node__38,0.0,0.0,0,0
__node__39,0.0,0.0,0,0
Hypericum_kalmianum,0.0,0.0,0,0
Garcinia_gummi-gutta,0.0,0.0,0,0
__node__40,0.0,0.0,0,0
Bonnetia_sessilis,0.0,0.0,0,0
Mammea_touriga,0.0,0.0,0,0
__node__41,0.0,0.0,0,0
Viola_sororia,0.0,0.0,0,0
__node__42,0.0,0.0,0,0
Passiflora_lutea,0.0,0.0,0,0
__node__43,0.0,0.0,0,0
Lacistema_aggregatum,0.0,0.0,0,0
Salix_amygdaloides,0.0,0.0,0,0
__node__44,0.0,0.0,0,0
Connarus_panamensis,0.0,0.0,0,0
__node__45,0.0,0.0,0,0
Sloanea_guianensis,0.0,0.0,0,0
Eucryphia_lucida,0.0,0.0,0,0
Wimmeria_bartlettii,0.0,0.0,0,0
__node__46,0.0,0.0,0,0
__node__47,0.0,0.0,0,0
__node__48,0.0,0.0,0,0
Cynomorium_coccineum,0.0,0.0,0,0
__node__49,0.0,0.0,0,0
Rubus_hochstetterorum,0.0,0.0,0,0
__node__50,0.0,0.0,0,0
__node__51,0.0,0.0,0,0
__node__52,0.0,0.0,0,0
__node__53,0.0,0.0,0,0
Ficus_obtusifolia,0.0,0.0,0,0
Parietaria_pensylvanica,0.0,0.0,0,0
Gironniera_subaequalis,0.0,0.0,0,0
Phyllostylon_rhamnoides,0.0,0.0,0,0
__node__54,0.0,0.0,0,0
Phylica_obtusifolia,0.0,0.0,0,0
Elaeagnus_umbellata,0.0,0.0,0,0
__node__55,0.0,0.0,0,0
__node__56,0.0,0.0,0,0
__node__57,0.0,0.0,0,0
Cucurbita_foetidissima,0.0,0.0,0,0
__node__58,0.0,0.0,0,0
__node__59,0.0,0.0,0,0
Begonia_herbacea,0.0,0.0,0,0
__node__60,0.0,0.0,0,0
Datisca_cannabina,0.0,0.0,0,0
Octomeles_sumatrana,0.0,0.0,0,0
__node__61,0.0,0.0,0,0
Coriaria_sarmentosa,0.0,0.0,0,0
Corynocarpus_laevigatus,0.0,0.0,0,0
Anisophyllea_disticha,0.0,0.0,0,0
__node__62,0.0,0.0,0,0
Nothofagus_antarctica,0.0,0.0,0,0
__node__63,0.0,0.0,0,0
Quercus_rotundifolia,0.0,0.0,0,0
__node__64,0.0,0.0,0,0
Carya_ovata,0.0,0.0,0,0
__node__65,0.0,0.0,0,0
Myrica_gale,0.0,0.0,0,0
__node__66,0.0,0.0,0,0
