node_name,post_prob,post_mean_jps,post_prob_greater50,predicted_jp
,1.0,1.0000000000000007,1,1
__node__1,0.0,0.0,0,0
__node__2,0.0,0.0,0,0
t13,0.0,0.0,0,0
__node__3,0.0,0.0,0,0
__node__4,0.0,0.0,0,0
t45,0.0,0.0,0,0
t76,0.0,0.0,0,0
t37,0.0,0.0,0,0
__node__5,0.0,0.0,0,0
__node__6,0.0,0.0,0,0
__node__7,0.0,0.0,0,0
__node__8,0.0,0.0,0,0
__node__9,0.0,0.0,0,0
t95,0.0,0.0,0,0
t40,0.0,0.0,0,0
__node__10,0.0,0.0,0,0
__node__11,0.0,0.0,0,0
__node__12,0.0,0.0,0,0
t39,0.0,0.0,0,0
t71,0.0,0.0,0,0
t80,0.0,0.0,0,0
t50,0.0,0.0,0,0
__node__13,0.0,0.0,0,0
t52,0.0,0.0,0,0
t68,0.0,0.0,0,0
__node__14,0.0,0.0,0,0
t66,0.0,0.0,0,0
t89,0.0,0.0,0,0
__node__15,0.0,0.0,0,0
__node__16,0.0,0.0,0,0
__node__17,0.0,0.0,0,0
__node__18,0.0,0.0,0,0
t7,0.0,0.0,0,0
t36,0.0,0.0,0,0
t93,0.0,0.0,0,0
t55,0.0,0.0,0,0
__node__19,0.0,0.0,0,0
t51,0.0,0.0,0,0
__node__20,0.0,0.0,0,0
t69,0.0,0.0,0,0
t58,0.0,0.0,0,0
__node__21,0.0,0.0,0,0
__node__22,0.0,0.0,0,0
__node__23,0.0,0.0,0,0
__node__24,1.0,1.0000000000000007,1,1
__node__25,0.0,0.0,0,0
t96,0.0,0.0,0,0
__node__26,0.0,0.0,0,0
t94,0.0,0.0,0,0
t17,0.0,0.0,0,0
__node__27,0.0,0.0,0,0
__node__28,0.0,0.0,0,0
t35,0.0,0.0,0,0
__node__29,0.0,0.0,0,0
__node__30,0.0,0.0,0,0
t30,0.0,0.0,0,0
t75,0.0,0.0,0,0
t99,0.0,0.0,0,0
__node__31,0.0,0.0,0,0
__node__32,0.0,0.0,0,0
__node__33,0.0,0.0,0,0
t74,0.0,0.0,0,0
t78,0.0,0.0,0,0
t100,0.0,0.0,0,0
__node__34,0.0,0.0,0,0
__node__35,0.0,0.0,0,0
t60,0.0,0.0,0,0
t33,0.0,0.0,0,0
__node__36,0.0,0.0,0,0
__node__37,0.0,0.0,0,0
t20,0.0,0.0,0,0
t82,0.0,0.0,0,0
t42,0.0,0.0,0,0
__node__38,0.0,0.0,0,0
__node__39,0.0,0.0,0,0
__node__40,0.0,0.0,0,0
__node__41,0.0,0.0,0,0
__node__42,0.0,0.0,0,0
t28,0.0,0.0,0,0
__node__43,0.0,0.0,0,0
t92,0.0,0.0,0,0
t61,0.0,0.0,0,0
t24,0.0,0.0,0,0
__node__44,0.0,0.0,0,0
t31,0.0,0.0,0,0
t97,0.0,0.0,0,0
__node__45,0.0,0.0,0,0
__node__46,0.0,0.0,0,0
t77,0.0,0.0,0,0
__node__47,0.0,0.0,0,0
t43,0.0,0.0,0,0
t67,0.0,0.0,0,0
__node__48,0.0,0.0,0,0
t88,0.0,0.0,0,0
__node__49,0.0,0.0,0,0
__node__50,0.0,0.0,0,0
t47,0.0,0.0,0,0
t6,0.0,0.0,0,0
t29,0.0,0.0,0,0
__node__51,0.0,0.0,0,0
__node__52,0.0,0.0,0,0
t26,0.0,0.0,0,0
t32,0.0,0.0,0,0
t34,0.0,0.0,0,0
__node__53,0.0,0.0,0,0
__node__54,0.0,0.0,0,0
__node__55,0.0,0.0,0,0
t21,0.0,0.0,0,0
__node__56,0.0,0.0,0,0
t23,0.0,0.0,0,0
__node__57,0.0,0.0,0,0
t3,0.0,0.0,0,0
t11,0.0,0.0,0,0
__node__58,0.0,0.0,0,0
__node__59,0.0,0.0,0,0
t63,0.0,0.0,0,0
__node__60,0.0,0.0,0,0
t41,0.0,0.0,0,0
__node__61,0.0,0.0,0,0
t25,0.0,0.0,0,0
t86,0.0,0.0,0,0
__node__62,0.0,0.0,0,0
t65,0.0,0.0,0,0
__node__63,0.0,0.0,0,0
__node__64,0.0,0.0,0,0
t49,0.0,0.0,0,0
__node__65,0.0,0.0,0,0
t57,0.0,0.0,0,0
t16,0.0,0.0,0,0
__node__66,0.0,0.0,0,0
t14,0.0,0.0,0,0
t62,0.0,0.0,0,0
__node__67,0.0,0.0,0,0
t85,0.0,0.0,0,0
__node__68,0.0,0.0,0,0
t70,0.0,0.0,0,0
__node__69,0.0,0.0,0,0
t2,0.0,0.0,0,0
t81,0.0,0.0,0,0
__node__70,0.0,0.0,0,0
__node__71,0.0,0.0,0,0
__node__72,0.0,0.0,0,0
__node__73,0.0,0.0,0,0
t83,0.0,0.0,0,0
__node__74,0.0,0.0,0,0
__node__75,0.0,0.0,0,0
t46,0.0,0.0,0,0
t18,0.0,0.0,0,0
__node__76,0.0,0.0,0,0
t54,0.0,0.0,0,0
t4,0.0,0.0,0,0
__node__77,0.0,0.0,0,0
t87,0.0,0.0,0,0
__node__78,0.0,0.0,0,0
__node__79,0.0,0.0,0,0
t44,0.0,0.0,0,0
__node__80,0.0,0.0,0,0
t15,0.0,0.0,0,0
t38,0.0,0.0,0,0
__node__81,0.0,0.0,0,0
__node__82,0.0,0.0,0,0
t1,0.0,0.0,0,0
__node__83,0.0,0.0,0,0
t8,0.0,0.0,0,0
__node__84,0.0,0.0,0,0
__node__85,0.0,0.0,0,0
t98,0.0,0.0,0,0
t59,0.0,0.0,0,0
__node__86,0.0,0.0,0,0
t27,0.0,0.0,0,0
t72,0.0,0.0,0,0
__node__87,0.118,0.11800000000000009,0,0
t5,0.052,0.05200000000000004,0,0
__node__88,0.08,0.08000000000000006,0,0
t56,0.102,0.10200000000000008,0,0
__node__89,0.122,0.1220000000000001,0,1
t90,0.132,0.1320000000000001,0,0
t12,0.056,0.05600000000000004,0,0
__node__90,0.0,0.0,0,0
__node__91,0.0,0.0,0,0
t19,0.0,0.0,0,0
t91,0.0,0.0,0,0
t64,0.0,0.0,0,0
__node__92,0.0,0.0,0,0
t22,0.0,0.0,0,0
__node__93,0.0,0.0,0,0
__node__94,0.0,0.0,0,0
__node__95,0.0,0.0,0,0
t48,0.0,0.0,0,0
t79,0.0,0.0,0,0
__node__96,0.0,0.0,0,0
t53,0.0,0.0,0,0
t10,0.0,0.0,0,0
__node__97,0.0,0.0,0,0
__node__98,0.0,0.0,0,0
t73,0.0,0.0,0,0
t9,0.0,0.0,0,0
t84,0.0,0.0,0,0
